file,device,slot,success,font_size,line_count,reason
8_fr_iphone_1.png,iphone,1,True,80,2,
8_fr_ipad_1.png,ipad,1,True,130,2,
8_fr_iphone_2.png,iphone,2,True,60,2,
8_fr_ipad_2.png,ipad,2,True,100,2,
8_fr_iphone_3.png,iphone,3,True,65,2,
8_fr_ipad_3.png,ipad,3,True,105,2,
9_fr_CA_iphone_1.png,iphone,1,True,75,2,
9_fr_CA_ipad_1.png,ipad,1,True,120,2,
9_fr_CA_iphone_2.png,iphone,2,True,60,2,
9_fr_CA_ipad_2.png,ipad,2,True,100,2,
9_fr_CA_iphone_3.png,iphone,3,True,60,2,
9_fr_CA_ipad_3.png,ipad,3,True,100,2,
10_de_iphone_1.png,iphone,1,True,75,2,
10_de_ipad_1.png,ipad,1,True,115,2,
10_de_iphone_2.png,iphone,2,True,75,2,
10_de_ipad_2.png,ipad,2,True,120,2,
10_de_iphone_3.png,iphone,3,True,70,2,
10_de_ipad_3.png,ipad,3,True,110,2,
11_it_iphone_1.png,iphone,1,True,75,2,
11_it_ipad_1.png,ipad,1,True,115,2,
11_it_iphone_2.png,iphone,2,True,75,2,
11_it_ipad_2.png,ipad,2,True,120,2,
11_it_iphone_3.png,iphone,3,True,60,2,
11_it_ipad_3.png,ipad,3,True,95,2,
12_pt_BR_iphone_1.png,iphone,1,True,70,2,
12_pt_BR_ipad_1.png,ipad,1,True,115,2,
12_pt_BR_iphone_2.png,iphone,2,True,75,2,
12_pt_BR_ipad_2.png,ipad,2,True,120,2,
12_pt_BR_iphone_3.png,iphone,3,True,65,2,
12_pt_BR_ipad_3.png,ipad,3,True,100,2,
13_pt_PT_iphone_1.png,iphone,1,True,70,2,
13_pt_PT_ipad_1.png,ipad,1,True,110,2,
13_pt_PT_iphone_2.png,iphone,2,True,70,2,
13_pt_PT_ipad_2.png,ipad,2,True,115,2,
13_pt_PT_iphone_3.png,iphone,3,True,65,2,
13_pt_PT_ipad_3.png,ipad,3,True,105,2,
14_nl_iphone_1.png,iphone,1,True,65,2,
14_nl_ipad_1.png,ipad,1,True,105,2,
14_nl_iphone_2.png,iphone,2,True,95,2,
14_nl_ipad_2.png,ipad,2,True,155,2,
14_nl_iphone_3.png,iphone,3,True,65,2,
14_nl_ipad_3.png,ipad,3,True,105,2,
15_pl_iphone_1.png,iphone,1,True,75,2,
15_pl_ipad_1.png,ipad,1,True,115,2,
15_pl_iphone_2.png,iphone,2,True,70,2,
15_pl_ipad_2.png,ipad,2,True,115,2,
15_pl_iphone_3.png,iphone,3,True,65,2,
15_pl_ipad_3.png,ipad,3,True,105,2,
16_sv_iphone_1.png,iphone,1,True,90,2,
16_sv_ipad_1.png,ipad,1,True,145,2,
16_sv_iphone_2.png,iphone,2,True,70,2,
16_sv_ipad_2.png,ipad,2,True,110,2,
16_sv_iphone_3.png,iphone,3,True,90,2,
16_sv_ipad_3.png,ipad,3,True,145,2,
17_da_iphone_1.png,iphone,1,True,60,2,
17_da_ipad_1.png,ipad,1,True,100,2,
17_da_iphone_2.png,iphone,2,True,70,2,
17_da_ipad_2.png,ipad,2,True,110,2,
17_da_iphone_3.png,iphone,3,True,90,2,
17_da_ipad_3.png,ipad,3,True,145,2,
18_nb_iphone_1.png,iphone,1,True,70,2,
18_nb_ipad_1.png,ipad,1,True,110,2,
18_nb_iphone_2.png,iphone,2,True,70,2,
18_nb_ipad_2.png,ipad,2,True,110,2,
18_nb_iphone_3.png,iphone,3,True,75,2,
18_nb_ipad_3.png,ipad,3,True,125,2,
19_fi_iphone_1.png,iphone,1,True,90,2,
19_fi_ipad_1.png,ipad,1,True,145,2,
19_fi_iphone_2.png,iphone,2,True,85,2,
19_fi_ipad_2.png,ipad,2,True,135,2,
19_fi_iphone_3.png,iphone,3,True,70,2,
19_fi_ipad_3.png,ipad,3,True,115,2,
20_cs_iphone_1.png,iphone,1,True,95,2,
20_cs_ipad_1.png,ipad,1,True,155,2,
20_cs_iphone_2.png,iphone,2,True,75,2,
20_cs_ipad_2.png,ipad,2,True,115,2,
20_cs_iphone_3.png,iphone,3,True,70,2,
20_cs_ipad_3.png,ipad,3,True,115,2,
21_hu_iphone_1.png,iphone,1,True,75,2,
21_hu_ipad_1.png,ipad,1,True,125,2,
21_hu_iphone_2.png,iphone,2,True,70,2,
21_hu_ipad_2.png,ipad,2,True,110,2,
21_hu_iphone_3.png,iphone,3,True,75,2,
21_hu_ipad_3.png,ipad,3,True,120,2,
22_ru_iphone_1.png,iphone,1,True,85,2,
22_ru_ipad_1.png,ipad,1,True,130,2,
22_ru_iphone_2.png,iphone,2,True,80,2,
22_ru_ipad_2.png,ipad,2,True,125,2,
22_ru_iphone_3.png,iphone,3,True,65,2,
22_ru_ipad_3.png,ipad,3,True,105,2,
23_ro_iphone_1.png,iphone,1,True,100,2,
23_ro_ipad_1.png,ipad,1,True,155,2,
23_ro_iphone_2.png,iphone,2,True,95,2,
23_ro_ipad_2.png,ipad,2,True,150,2,
23_ro_iphone_3.png,iphone,3,True,65,2,
23_ro_ipad_3.png,ipad,3,True,105,2,
24_sk_iphone_1.png,iphone,1,True,90,2,
24_sk_ipad_1.png,ipad,1,True,140,2,
24_sk_iphone_2.png,iphone,2,True,70,2,
24_sk_ipad_2.png,ipad,2,True,115,2,
24_sk_iphone_3.png,iphone,3,True,70,2,
24_sk_ipad_3.png,ipad,3,True,110,2,
25_uk_iphone_1.png,iphone,1,True,80,2,
25_uk_ipad_1.png,ipad,1,True,125,2,
25_uk_iphone_2.png,iphone,2,True,75,2,
25_uk_ipad_2.png,ipad,2,True,120,2,
25_uk_iphone_3.png,iphone,3,True,75,2,
25_uk_ipad_3.png,ipad,3,True,120,2,
26_hr_iphone_1.png,iphone,1,True,85,2,
26_hr_ipad_1.png,ipad,1,True,140,2,
26_hr_iphone_2.png,iphone,2,True,70,2,
26_hr_ipad_2.png,ipad,2,True,115,2,
26_hr_iphone_3.png,iphone,3,True,70,2,
26_hr_ipad_3.png,ipad,3,True,110,2,
27_bg_iphone_1.png,iphone,1,True,65,2,
27_bg_ipad_1.png,ipad,1,True,105,2,
27_bg_iphone_2.png,iphone,2,True,65,2,
27_bg_ipad_2.png,ipad,2,True,105,2,
27_bg_iphone_3.png,iphone,3,True,55,2,
27_bg_ipad_3.png,ipad,3,True,90,2,
28_el_iphone_1.png,iphone,1,True,65,2,
28_el_ipad_1.png,ipad,1,True,105,2,
28_el_iphone_2.png,iphone,2,True,70,2,
28_el_ipad_2.png,ipad,2,True,110,2,
28_el_iphone_3.png,iphone,3,True,55,2,
28_el_ipad_3.png,ipad,3,True,90,2,
29_ca_iphone_1.png,iphone,1,True,75,2,
29_ca_ipad_1.png,ipad,1,True,115,2,
29_ca_iphone_2.png,iphone,2,True,80,2,
29_ca_ipad_2.png,ipad,2,True,125,2,
29_ca_iphone_3.png,iphone,3,True,75,2,
29_ca_ipad_3.png,ipad,3,True,120,2,
30_en_GB_iphone_1.png,iphone,1,True,80,2,
30_en_GB_ipad_1.png,ipad,1,True,130,2,
30_en_GB_iphone_2.png,iphone,2,True,70,2,
30_en_GB_ipad_2.png,ipad,2,True,110,2,
30_en_GB_iphone_3.png,iphone,3,True,75,2,
30_en_GB_ipad_3.png,ipad,3,True,120,2,
31_ar_iphone_1.png,iphone,1,True,95,2,
31_ar_ipad_1.png,ipad,1,True,150,2,
31_ar_iphone_2.png,iphone,2,True,100,2,
31_ar_ipad_2.png,ipad,2,True,155,2,
31_ar_iphone_3.png,iphone,3,True,75,2,
31_ar_ipad_3.png,ipad,3,True,120,2,
32_he_iphone_1.png,iphone,1,True,120,2,
32_he_ipad_1.png,ipad,1,True,180,2,
32_he_iphone_2.png,iphone,2,True,120,2,
32_he_ipad_2.png,ipad,2,True,180,2,
32_he_iphone_3.png,iphone,3,True,100,2,
32_he_ipad_3.png,ipad,3,True,160,2,
33_hi_iphone_1.png,iphone,1,True,110,2,
33_hi_ipad_1.png,ipad,1,True,175,2,
33_hi_iphone_2.png,iphone,2,True,110,2,
33_hi_ipad_2.png,ipad,2,True,175,2,
33_hi_iphone_3.png,iphone,3,True,90,2,
33_hi_ipad_3.png,ipad,3,True,145,2,
34_th_iphone_1.png,iphone,1,True,115,2,
34_th_ipad_1.png,ipad,1,True,180,2,
34_th_iphone_2.png,iphone,2,True,95,2,
34_th_ipad_2.png,ipad,2,True,155,2,
34_th_iphone_3.png,iphone,3,True,90,2,
34_th_ipad_3.png,ipad,3,True,145,2,
35_vi_iphone_1.png,iphone,1,True,70,2,
35_vi_ipad_1.png,ipad,1,True,110,2,
35_vi_iphone_2.png,iphone,2,True,80,2,
35_vi_ipad_2.png,ipad,2,True,125,2,
35_vi_iphone_3.png,iphone,3,True,65,2,
35_vi_ipad_3.png,ipad,3,True,105,2,
36_id_iphone_1.png,iphone,1,True,85,2,
36_id_ipad_1.png,ipad,1,True,135,2,
36_id_iphone_2.png,iphone,2,True,80,2,
36_id_ipad_2.png,ipad,2,True,125,2,
36_id_iphone_3.png,iphone,3,True,60,2,
36_id_ipad_3.png,ipad,3,True,100,2,
37_ms_iphone_1.png,iphone,1,True,80,2,
37_ms_ipad_1.png,ipad,1,True,125,2,
37_ms_iphone_2.png,iphone,2,True,70,2,
37_ms_ipad_2.png,ipad,2,True,115,2,
37_ms_iphone_3.png,iphone,3,True,60,2,
37_ms_ipad_3.png,ipad,3,True,95,2,
38_tr_iphone_1.png,iphone,1,True,95,2,
38_tr_ipad_1.png,ipad,1,True,150,2,
38_tr_iphone_2.png,iphone,2,True,80,2,
38_tr_ipad_2.png,ipad,2,True,130,2,
38_tr_iphone_3.png,iphone,3,True,70,2,
38_tr_ipad_3.png,ipad,3,True,115,2,
39_ka_iphone_1.png,iphone,1,True,70,2,
39_ka_ipad_1.png,ipad,1,True,115,2,
39_ka_iphone_2.png,iphone,2,True,70,2,
39_ka_ipad_2.png,ipad,2,True,110,2,
39_ka_iphone_3.png,iphone,3,True,50,2,
39_ka_ipad_3.png,ipad,3,True,80,2,
